lat,lon,fishing_hours
-7.4,-80.0,246.5368
-19.2,-77.8,246.4788
-9.7,-79.1,246.2266
-17.3,-79.1,246.1562
-3.8,-85.3,246.1488
-12.7,-77.6,245.99190000000002
-16.2,-80.0,245.8783
-11.3,-78.1,245.7235
-17.5,-80.4,245.309
-5.4,-85.3,245.2414
-6.1,-85.3,245.0805
-13.7,-80.8,244.9845
-5.1,-85.7,244.89679999999998
-20.0,-75.3,244.8406
-13.2,-76.7,244.441
-2.5,-85.7,244.3939
-17.5,-79.4,243.9189
-15.0,-85.4,243.46099999999998
-6.6,-84.6,243.4435
-8.9,-78.9,243.1906
-12.7,-81.8,243.1053
-14.2,-80.5,243.0721
-4.2,-86.0,242.3697
-5.5,-85.8,242.1533
-9.4,-78.8,242.0307
-17.6,-78.8,241.7513
-8.4,-79.1,241.629
-12.4,-81.9,241.4986
-16.2,-80.4,241.299
-18.6,-78.3,241.176
-11.1,-78.0,241.017
-4.5,-85.8,240.9288
-8.4,-79.3,240.9118
-16.9,-80.0,240.8682
-11.6,-78.0,240.7588
-19.4,-76.1,240.5421
-15.7,-80.0,240.3249
-14.4,-83.9,239.8336
-13.6,-81.1,239.406
-16.5,-79.6,239.365
-4.1,-85.3,239.3508
-19.9,-76.3,239.1046
-2.2,-84.7,238.9675
-8.3,-79.2,238.948
-5.2,-85.7,238.6423
-5.6,-85.7,238.4107
-8.9,-79.7,238.2644
-9.4,-79.5,237.4408
-8.6,-79.8,237.3579
-4.0,-85.6,237.1843
-3.4,-86.0,236.934
-5.5,-85.0,235.6538
-3.9,-85.7,235.6303
-16.1,-80.3,235.4518
-6.2,-84.8,235.24970000000002
-19.3,-77.9,234.709
-12.1,-77.3,234.4831
-11.1,-77.8,234.4812
-9.9,-78.8,234.4653
-4.6,-86.0,234.1721
-19.8,-76.3,233.9722
-17.1,-79.8,233.6113
-8.9,-79.4,233.3395
-13.5,-76.5,233.2423
-5.3,-85.6,233.2325
-16.1,-80.2,232.7159
-6.4,-85.6,232.4821
-3.8,-85.1,231.7414
-18.4,-78.5,231.6002
-9.2,-79.8,231.3458
-17.1,-79.7,231.3109
-12.8,-81.2,230.9051
-18.2,-78.9,230.7315
-9.7,-79.8,230.3252
-6.7,-84.7,230.2354
-3.2,-85.6,230.1284
-3.4,-85.8,229.8218
-19.0,-78.1,229.7733
-5.3,-85.5,229.2612
-3.6,-85.7,228.86440000000002
-13.9,-76.6,228.7716
-11.2,-82.7,228.4587
-7.7,-79.5,228.4071
-10.1,-82.2,227.9073
-19.1,-77.8,227.3649
-19.2,-77.4,227.3636
-12.8,-81.8,227.3057
-16.8,-80.1,227.1569
-19.5,-76.2,226.8159
-20.0,-74.6,226.2266
-10.6,-78.1,226.0294
-11.6,-77.8,225.3735
-11.8,-77.7,225.2452
-9.7,-78.6,225.05440000000002
-3.2,-85.0,225.0453
-5.6,-85.4,224.6762
-12.9,-81.8,224.40970000000002
-2.7,-84.9,223.9773
-3.9,-85.6,223.6568
-19.7,-76.4,223.5592
-13.3,-76.6,223.2028
-13.7,-80.9,223.174
-16.8,-80.0,222.5919
-17.5,-79.2,222.2778
-7.5,-79.9,222.1466
-17.4,-79.1,222.0276
-3.8,-85.9,221.7728
-10.3,-78.3,221.0785
-6.0,-85.6,220.9792
-9.7,-79.5,220.2695
-13.4,-76.8,220.085
-13.4,-84.0,220.0472
-8.7,-79.6,219.8872
-11.1,-81.6,219.8543
-9.1,-78.9,219.7208
-7.3,-80.0,219.1917
-20.0,-76.3,219.1019
-19.4,-75.6,218.414
-11.9,-77.9,217.7428
-17.5,-79.3,217.7046
-2.4,-85.6,217.699
-6.6,-81.1,217.6355
-14.7,-80.7,217.5074
-7.3,-80.3,217.4072
-12.9,-76.8,217.3887
-8.3,-79.6,217.2484
-16.0,-80.2,217.104
-5.3,-84.8,216.7545
-16.9,-80.2,216.6235
-6.6,-85.6,216.3449
-11.0,-81.6,216.2463
-19.5,-76.8,215.9485
-13.2,-77.1,215.6008
-17.2,-79.0,215.4994
-11.3,-81.6,215.4751
-13.9,-76.7,215.3505
-4.6,-85.8,215.3422
-9.7,-78.7,215.3395
-4.3,-85.7,215.0091
-5.0,-85.7,214.9464
-16.3,-80.4,214.9438
-4.4,-85.6,214.6621
-2.9,-84.9,214.3954
-3.5,-85.7,214.37699999999998
-18.7,-78.2,214.1495
-2.8,-85.7,214.1292
-6.9,-80.9,213.8414
-11.2,-81.8,213.5915
-20.0,-74.8,213.398
-14.9,-81.9,213.1467
-4.7,-86.0,213.0573
-5.3,-86.0,212.9575
-20.0,-76.5,212.714
-14.2,-80.7,212.6833
-13.0,-81.1,212.6564
-4.5,-86.0,212.2347
-18.0,-78.3,211.9644
-8.6,-79.4,211.9253
-14.5,-83.9,211.791
-18.3,-78.6,211.616
-16.3,-79.8,211.582
-14.8,-81.7,211.1644
-20.0,-75.0,211.0288
-19.2,-77.7,210.9871
-5.4,-84.9,210.8558
-5.1,-85.9,210.8353
-17.2,-81.4,210.745
-19.3,-75.6,210.7214
-14.7,-80.6,210.5742
-5.4,-85.5,210.5352
-9.6,-79.5,210.4202
-7.5,-80.2,210.3964
-16.5,-83.9,210.3121
-9.0,-79.7,209.98839999999998
-2.9,-85.9,209.7562
-12.6,-85.6,209.64679999999998
-14.1,-85.9,209.62369999999999
-8.4,-79.7,209.0046
